rep_sitc,rep,country,sitc,sitc_desc,BI2000,BIS2000,BI2005,BIS2005,BI2010,BIS2010,BI2015,BIS2015,BI2020,BIS2020,BI2021,BIS2021,BI2022,BIS2022,BI2023,BIS2023
620511,620,Portugal,511,"Hydrocarbons, nes, and derivatives",2.5383556,.4347657,2.8679483,.48293,2.3911493,.41022944,2.2370226,.3821483,1.5492778,.21546407,1.8645927,.30182046,1.5980192,.23018277,,
620512,620,Portugal,512,"Alcohols, phenols etc, and their derivatives",.033503037,-.93516606,.0099310903,-.98033315,.072648466,-.86454374,.14191918,-.75143743,.18199322,-.69205707,.25463021,-.59409523,.18075089,-.6938374,,
620513,620,Portugal,513,"Carboxylic acids, and their derivatives",.24917848,-.60105222,.05968124,-.88736004,.032548372,-.93695527,.26960957,-.57528746,2.1785309,.3707785,2.5516531,.43688196,2.8170571,.47603613,,
620514,620,Portugal,514,Nitrogen-function compounds,.38122985,-.44798493,.17882636,-.6966027,.49137142,-.34104756,.86444205,-.072706982,.51004213,-.32446635,.73875648,-.15024734,.81545347,-.10165313,,
620515,620,Portugal,515,Organo-inorganic and heterocyclic compounds,.097818166,-.82179534,.055949964,-.89402914,.053102627,-.89915013,.069151215,-.87064278,.3257429,-.50858814,.31305176,-.52316922,.2716696,-.57273555,,
620516,620,Portugal,516,Other organic chemicals,.06999553,-.86916667,.32972774,-.5040673,.15719169,-.72832215,.1092205,-.80306798,.20739718,-.65645576,.17328604,-.70461416,.12624827,-.77580738,,
620522,620,Portugal,522,"Inorganic chemical elements, oxides and halogen salts",.76730198,-.13166851,.71282315,-.16766287,.34097525,-.49145183,.2727814,-.57136172,.38182807,-.44735807,.44115743,-.38777342,.54881537,-.29130951,,
620523,620,Portugal,523,Other inorganic chemicals; compounds of precious metals,.19747348,-.67018312,.25626624,-.5920192,.29916605,-.5394491,.24892925,-.60137177,.16746615,-.71311176,.14226082,-.75091362,.1978891,-.66960365,,
620524,620,Portugal,524,Radioactive and associated material,.000080274964,-.99983948,.0012972514,-.99740887,.0046613691,-.99072051,.00038352088,-.99923325,1.0509541,.024844097,1.1561688,.072428845,.64143723,-.21844439,,
620531,620,Portugal,531,"Synthetic dye, natural indigo, lakes",.24613324,-.60496479,.29975349,-.53875333,.39457169,-.43413207,.4158127,-.41261622,.44387844,-.38515815,.4871242,-.34487757,.47147995,-.35917583,,
620532,620,Portugal,532,"Dyeing and tanning extracts, and synthetic tanning materials",.08566469,-.84218943,.042326007,-.91878545,.038763173,-.9253667,.36621264,-.46390095,.18231677,-.69159406,.16528854,-.71631312,.30639985,-.53092486,,
620533,620,Portugal,533,"Pigments, paints, varnishes and related materials",.47571266,-.35527739,1.0768446,.037000638,.88418555,-.061466582,.75701576,-.13829371,.66800958,-.19903389,.67844719,-.19157755,.73864722,-.15031961,,
620541,620,Portugal,541,Medicinal and pharmaceutical products,.54602182,-.29364279,.28314859,-.55866593,.34940025,-.48213995,.451855,-.37754804,.44078714,-.3881301,.38337743,-.44573703,.45925188,-.3705653,,
620551,620,Portugal,551,"Essential oils, perfume and flavour materials",.033850532,-.9345156,.043615833,-.91641402,.065521143,-.87701577,.10792286,-.80517983,.063006051,-.88145685,.067176342,-.8741045,.099627204,-.81879824,,
620553,620,Portugal,553,"Perfumery, cosmetics, toilet preparations, etc",.3696889,-.46018559,.53739345,-.30090317,.63149673,-.22586823,.47760004,-.35354626,.43600968,-.39274827,.48517212,-.34664527,.49980116,-.3335101,,
